isolabel_ext,status,cover,overlay
CO-AMA-ElEncanto,0,89q 8bg 8cg 8cq 8dg 8dq 8eg,
CO-AMA-LaChorrera,0,8bg 8bq 8cq 8eg 8eq 91g 94g,
CO-AMA-LaPedrera,0,a8q a9q aag aaq abg abq b0g,
CO-AMA-LaVictoria,0,953v 954v 955r 955v 956h 956m 956r 956v 957h 957m 957r 959m 95ch 95cm,
CO-AMA-Leticia,0,a0q a2g a2q,
CO-AMA-MiritiParana,0,8eq 8fg 8fq 94g 95g 95q aag aaq b0g,
CO-AMA-PuertoAlegria,0,8aq 8bg 8bq 8eg 90g 91g,
CO-AMA-PuertoArica,0,8cq 8dg 8dq 8eg 8fg a8g a8q aag,
CO-AMA-PuertoNarino,0,a20r a20v a21r a22h a22m a22r a22v a23h a23r a28m a28v a29h a29r a2bh,
CO-AMA-PuertoSantander,0,8dq 8eg 8eq 8fg 8fq 94g aag,
CO-AMA-Tarapaca,0,a2q a8g a8q a9q,
CO-ANT-Abejorral,0,677m 677v 67dm c22h c22m c22r c22v c28h,
CO-ANT-Abriaqui,0,67bv 67er 6d1m 6d1v 6d4h 6d4r,
CO-ANT-Alejandria,0,c2am c2bh c2bm c2br c2bv,
CO-ANT-Amaga,0,67cm 67dh 67dr,
CO-ANT-Amalfi,0,c80v c81r c81v c82m c83h c83m c83r c83v c86h c86r c89m c89v c8ch,
CO-ANT-Andes,0,673m 674h 674m 674r 674v 676h 676m,
CO-ANT-Angelopolis,0,67cv 67dh 67dr,
CO-ANT-Angostura,0,6d5v c80r c80v c82h c82m,
CO-ANT-Anori,0,c82m c82v c83h c83r c83v c88m c88v c89h c89m c89r c89v c8bm,
CO-ANT-Anza,0,67cr 67cv 67eh 67em 67ev,
CO-ANT-Apartado,0,6e5m 6e5v 6f0h 6f0m 6f0r 6f0v 6f2m,
CO-ANT-Arboletes,0,6f8m 6f8r 6f8v 6f9h 6f9r 6fah 6fam 6fav 6fbh,
CO-ANT-Argelia,0,c22m c23h c23m,
CO-ANT-Armenia,0,67cv 67dr 67em,
CO-ANT-Barbosa,0,c2ah c2am c2ar c2av,
CO-ANT-Bello,0,67fh 67fm 67fr 67fv,
CO-ANT-Belmira,0,67fr 67fv 6d5h 6d5m 6d5r 6d5v,
CO-ANT-Betania,0,673m 676h 676m 676r,
CO-ANT-Betulia,0,67ch 67cr 67cv 67eh 67em,
CO-ANT-Briceno,0,6d7r 6d7v 6ddh 6ddm c88h,
CO-ANT-Buritica,0,6d4m 6d4r 6d4v 6d6h 6d6m,
CO-ANT-Caceres,0,6f5m c88v c89r c89v c8ah c8am c8ar c8av c8bh c8bm c8br c8bv ca0h ca0m ca0r ca0v ca1h ca1r,
CO-ANT-Caicedo,0,67bv 67eh 67em 67er 67ev,
CO-ANT-Caldas,0,67dh 67dm 67dr 67dv,
CO-ANT-Campamento,0,c82h c82m c82r c82v c88h c88m,
CO-ANT-Canasgordas,0,6d1v 6d3m 6d4h 6d4r 6d6h 6d6r,
CO-ANT-Caracoli,0,c2cr c2cv c2eh c2em c2er c2ev,
CO-ANT-Caramanta,0,675r 675v,
CO-ANT-Carepa,0,6e5h 6e5m 6e5v 6f0h 6f0m 6f0r 6f0v,
CO-ANT-CarolinaPrincipe,0,c80m c80r c80v,
CO-ANT-Caucasia,0,c8bh c8br c8bv c8er ca0m ca0v ca1h ca1m ca1r ca1v ca2m ca3h ca3m ca4h,
CO-ANT-Chigorodo,0,6cfm 6cfr 6cfv 6dah 6dam 6dar 6dav 6e5h 6e5m 6f0h 6f0m,
CO-ANT-Cisneros,0,c2bay c2bbs c2bbt c2bby c810j c810n c810p c811j c811k c811n c811p c811s c811z,
CO-ANT-CiudadBolivar,0,673m 673v 676h 676r 676v,
CO-ANT-Cocorna,0,c23r c28m c28v c29h c29r,
CO-ANT-Concepcion,0,c2am c2av c2bh c2br,
CO-ANT-Concordia,0,67ch 67cm 67cr 67cv,
CO-ANT-Copacabana,0,67fm 67fv c2ah,
CO-ANT-Dabeiba,0,6d0r 6d0v 6d1r 6d2h 6d2m 6d2r 6d2v 6d3h 6d3m 6d3r 6d3v 6d6h 6d6r 6d8h 6d8m 6d9h 6d9m 6dch,
CO-ANT-DonMatias,0,67fv c2ar c2av c80h c80m,
CO-ANT-Ebejico,0,67cv 67em 67ev 67fh 67fr,
CO-ANT-ElBagre,0,c8cv c8dr c8eh c8em c8er c8ev c8fh c8fr ca4h ca4m ca4r ca4v ca5h ca5r,
CO-ANT-ElCarmenViboral,0,c22v c23r c28h c28m c28r c28v c29h,
CO-ANT-ElPenol,0,c28v c29r c2am c2bh,
CO-ANT-ElRetiro,0,67dm 67dv c28h c28r,
CO-ANT-ElSantuario,0,c28m c28v c29r,
CO-ANT-Entrerrios,0,67fv 6d5h 6d5m c2ar c80h,
CO-ANT-Envigado,0,67dcj 67dck 67dcn 67dcp 67dcs 67dct 67dcy 67dcz 67ddk 67dds 67ddt 67ddy 67dej 67dek 67den 67dep 67dfj 67dfk 67dfn 67dfp,
CO-ANT-Fredonia,0,676v 677h 677r 677v 67dh 67dm,
CO-ANT-Frontino,0,67ar 67av 67br 6d0h 6d0m 6d0r 6d0v 6d1h 6d1m 6d1r 6d1v 6d2m 6d3h 6d3m,
CO-ANT-Giraldo,0,6d4h 6d4m 6d4r 6d4v,
CO-ANT-Girardota,0,67f7p 67f7y 67f7z 67fdn 67fdp 67fdz c2a2j c2a2k c2a2n c2a2p c2a2s c2a2t c2a2y c2a2z c2a8j c2a8k c2a8n c2a8p c2a8s,
CO-ANT-GomezPlata,0,c80m c80v c81h c81r c82m,
CO-ANT-Granada,0,c28v c29h c29r,
CO-ANT-Guadalupe,0,c80v c82m c83h,
CO-ANT-Guarne,0,67dv 67fm c28r c2ah,
CO-ANT-Guatape,0,c28v c29r c2am c2bh,
CO-ANT-Heliconia,0,67cv 67dr 67em 67fh,
CO-ANT-Hispania,0,6763p 6763t 6763y 6763z 6766k 6766s 6766t 6769j 6769n 6769p 676cj 676ck 676cp 676cs,
CO-ANT-Itagui,0,67d9y 67dbn 67dbp 67dct 67dej 67dek,
CO-ANT-Ituango,0,6dg 6dq c8q,
CO-ANT-Jardin,0,674m 674v 675r 676m,
CO-ANT-Jerico,0,676m 676v 677h 677r,
CO-ANT-LaCeja,0,677v 67dm c22r c28h,
CO-ANT-LaEstrella,0,67d9k 67d9n 67d9p 67d9s 67d9t 67d9y 67d9z 67dbj 67dbn 67dck,
CO-ANT-LaPintada,0,6771p 6771y 6771z 6773n 6773p 6773y 6773z 6774k 6774s 6774t 6776j 6776k 6776n 6776p 6776s 6776t 6776z 6779n 677cj,
CO-ANT-LaUnion,0,c22r c22v c28h c28m,
CO-ANT-Liborina,0,6d4m 6d4v 6d5h 6d5r,
CO-ANT-Maceo,0,c2er c2ev c84h c84m c85h,
CO-ANT-Marinilla,0,c28r c28v c2am,
CO-ANT-Medellin,0,67dr 67dv 67fh 67fm,
CO-ANT-Montebello,0,67g 67q,
CO-ANT-Murindo,0,6c5h 6c5m 6c5r 6c5v 6c7h 6c7m 6c7r 6c7v 6d0h 6d0r 6d2h 6d2r,
CO-ANT-Mutata,0,6cdv 6cfm 6d8h 6d8m 6d8r 6d8v 6d9h 6d9r 6dah 6dam,
CO-ANT-Narino,0,c20m c20v c21r c22m c23h,
CO-ANT-Nechi,0,ca1m ca1v ca3m ca4h ca4r ca4v ca5r ca6h ca6m ca6r,
CO-ANT-Necocli,0,6e7v 6edm 6edr 6edv 6efh 6efm 6f8h 6f8m 6f8r 6f8v 6fah,
CO-ANT-Olaya,0,6d4m 6d5h,
CO-ANT-Peque,0,6d6h 6d6m 6d6r 6d6v 6dch 6dcm,
CO-ANT-Pueblorrico,0,676m 676r 676v,
CO-ANT-PuertoBerrio,0,c2em c2er c2ev c2fh c2fm c2fr c2fv c84m c85h c85m c85r c85v,
