selected,abbrevref_id,isolabel_ext,abbrev,insert_date,default_abbrev
t,5,CO,co,2023-11-30,f
t,5,CO-AMA,co;ama,2023-11-30,f
t,5,CO-AMA,co;amazonas,2023-11-30,f
t,5,CO-AMA-ElEncanto,CO-91263,2023-11-30,t
t,5,CO-AMA-ElEncanto,CO-A-EEN,2023-11-30,f
t,5,CO-AMA-ElEncanto,CO-A-ElEncanto,2023-11-30,f
t,1,CO-AMA-ElEncanto,CO-AMA-EEN,2022-09-14,f
t,5,CO-AMA-ElEncanto,CO-ElEncanto,2023-11-30,f
t,5,CO-AMA-ElEncanto,co;ama;el.encanto,2023-11-30,f
t,5,CO-AMA-ElEncanto,co;amazonas;el.encanto,2023-11-30,f
t,5,CO-AMA-LaChorrera,CO-91405,2023-11-30,t
t,5,CO-AMA-LaChorrera,CO-A-LCH,2023-11-30,f
t,5,CO-AMA-LaChorrera,CO-A-LaChorrera,2023-11-30,f
t,1,CO-AMA-LaChorrera,CO-AMA-LCH,2022-09-14,f
t,5,CO-AMA-LaChorrera,CO-LaChorrera,2023-11-30,f
t,5,CO-AMA-LaChorrera,co;ama;la.chorrera,2023-11-30,f
t,5,CO-AMA-LaChorrera,co;amazonas;la.chorrera,2023-11-30,f
t,5,CO-AMA-LaPedrera,CO-91407,2023-11-30,t
t,5,CO-AMA-LaPedrera,CO-A-LPD,2023-11-30,f
t,5,CO-AMA-LaPedrera,CO-A-LaPedrera,2023-11-30,f
t,1,CO-AMA-LaPedrera,CO-AMA-LPD,2022-09-14,f
t,5,CO-AMA-LaPedrera,CO-LaPedrera,2023-11-30,f
t,5,CO-AMA-LaPedrera,co;ama;la.pedrera,2023-11-30,f
t,5,CO-AMA-LaPedrera,co;amazonas;la.pedrera,2023-11-30,f
t,5,CO-AMA-LaVictoria,CO-91430,2023-11-30,t
t,5,CO-AMA-LaVictoria,CO-A-LVC,2023-11-30,f
t,5,CO-AMA-LaVictoria,CO-A-LaVictoria,2023-11-30,f
t,1,CO-AMA-LaVictoria,CO-AMA-LVC,2022-09-14,f
t,5,CO-AMA-LaVictoria,co;ama;la.victoria,2023-11-30,f
t,5,CO-AMA-LaVictoria,co;amazonas;la.victoria,2023-11-30,f
t,5,CO-AMA-Leticia,CO-91001,2023-11-30,t
t,5,CO-AMA-Leticia,CO-A-LTA,2023-11-30,f
t,5,CO-AMA-Leticia,CO-A-Leticia,2023-11-30,f
t,1,CO-AMA-Leticia,CO-AMA-LTA,2022-09-14,f
t,5,CO-AMA-Leticia,CO-Leticia,2023-11-30,f
t,5,CO-AMA-Leticia,co;ama;leticia,2023-11-30,f
t,5,CO-AMA-Leticia,co;amazonas;leticia,2023-11-30,f
t,5,CO-AMA-MiritiParana,CO-91460,2023-11-30,t
t,5,CO-AMA-MiritiParana,CO-A-MPA,2023-11-30,f
t,5,CO-AMA-MiritiParana,CO-A-MiritiParana,2023-11-30,f
t,1,CO-AMA-MiritiParana,CO-AMA-MPA,2022-09-14,f
t,5,CO-AMA-MiritiParana,CO-MiritiParana,2023-11-30,f
t,5,CO-AMA-MiritiParana,co;ama;miriti.parana,2023-11-30,f
t,5,CO-AMA-MiritiParana,co;amazonas;miriti.parana,2023-11-30,f
t,5,CO-AMA-PuertoAlegria,CO-91530,2023-11-30,t
t,5,CO-AMA-PuertoAlegria,CO-A-PAA,2023-11-30,f
t,5,CO-AMA-PuertoAlegria,CO-A-PuertoAlegria,2023-11-30,f
t,1,CO-AMA-PuertoAlegria,CO-AMA-PAA,2022-09-14,f
t,5,CO-AMA-PuertoAlegria,CO-PuertoAlegria,2023-11-30,f
t,5,CO-AMA-PuertoAlegria,co;ama;puerto.alegria,2023-11-30,f
t,5,CO-AMA-PuertoAlegria,co;amazonas;puerto.alegria,2023-11-30,f
t,5,CO-AMA-PuertoArica,CO-91536,2023-11-30,t
t,5,CO-AMA-PuertoArica,CO-A-PAC,2023-11-30,f
t,5,CO-AMA-PuertoArica,CO-A-PuertoArica,2023-11-30,f
t,1,CO-AMA-PuertoArica,CO-AMA-PAC,2022-09-14,f
t,5,CO-AMA-PuertoArica,CO-PuertoArica,2023-11-30,f
t,5,CO-AMA-PuertoArica,co;ama;puerto.arica,2023-11-30,f
t,5,CO-AMA-PuertoArica,co;amazonas;puerto.arica,2023-11-30,f
t,5,CO-AMA-PuertoNarino,CO-91540,2023-11-30,t
t,5,CO-AMA-PuertoNarino,CO-A-PNN,2023-11-30,f
t,5,CO-AMA-PuertoNarino,CO-A-PuertoNarino,2023-11-30,f
t,1,CO-AMA-PuertoNarino,CO-AMA-PNN,2022-09-14,f
t,5,CO-AMA-PuertoNarino,CO-PuertoNarino,2023-11-30,f
t,5,CO-AMA-PuertoNarino,co;ama;puerto.narino,2023-11-30,f
t,5,CO-AMA-PuertoNarino,co;amazonas;puerto.narino,2023-11-30,f
t,5,CO-AMA-PuertoSantander,CO-91669,2023-11-30,t
t,5,CO-AMA-PuertoSantander,CO-A-PSR,2023-11-30,f
t,5,CO-AMA-PuertoSantander,CO-A-PuertoSantander,2023-11-30,f
t,1,CO-AMA-PuertoSantander,CO-AMA-PSR,2022-09-14,f
t,5,CO-AMA-PuertoSantander,co;ama;puerto.santander,2023-11-30,f
t,5,CO-AMA-PuertoSantander,co;amazonas;puerto.santander,2023-11-30,f
t,5,CO-AMA-Tarapaca,CO-91798,2023-11-30,t
t,5,CO-AMA-Tarapaca,CO-A-TPA,2023-11-30,f
t,5,CO-AMA-Tarapaca,CO-A-Tarapaca,2023-11-30,f
t,1,CO-AMA-Tarapaca,CO-AMA-TPA,2022-09-14,f
t,5,CO-AMA-Tarapaca,CO-Tarapaca,2023-11-30,f
t,5,CO-AMA-Tarapaca,co;ama;tarapaca,2023-11-30,f
t,5,CO-AMA-Tarapaca,co;amazonas;tarapaca,2023-11-30,f
t,5,CO-ANT,co;ant,2023-11-30,f
t,5,CO-ANT,co;antioquia,2023-11-30,f
t,5,CO-ANT-Abejorral,CO-5002,2023-11-30,t
t,5,CO-ANT-Abejorral,CO-A-AJR,2023-11-30,f
t,5,CO-ANT-Abejorral,CO-A-Abejorral,2023-11-30,f
t,1,CO-ANT-Abejorral,CO-ANT-AJR,2022-09-14,f
t,5,CO-ANT-Abejorral,CO-Abejorral,2023-11-30,f
t,5,CO-ANT-Abejorral,co;ant;abejorral,2023-11-30,f
t,5,CO-ANT-Abejorral,co;antioquia;abejorral,2023-11-30,f
t,5,CO-ANT-Abriaqui,CO-5004,2023-11-30,t
t,5,CO-ANT-Abriaqui,CO-A-ABQ,2023-11-30,f
t,5,CO-ANT-Abriaqui,CO-A-Abriaqui,2023-11-30,f
t,1,CO-ANT-Abriaqui,CO-ANT-ABQ,2022-09-14,f
t,5,CO-ANT-Abriaqui,CO-Abriaqui,2023-11-30,f
t,5,CO-ANT-Abriaqui,co;ant;abriaqui,2023-11-30,f
t,5,CO-ANT-Abriaqui,co;antioquia;abriaqui,2023-11-30,f
t,5,CO-ANT-Alejandria,CO-5021,2023-11-30,t
t,5,CO-ANT-Alejandria,CO-A-ALJ,2023-11-30,f
t,5,CO-ANT-Alejandria,CO-A-Alejandria,2023-11-30,f
t,1,CO-ANT-Alejandria,CO-ANT-ALJ,2022-09-14,f
t,5,CO-ANT-Alejandria,CO-Alejandria,2023-11-30,f
t,5,CO-ANT-Alejandria,co;ant;alejandria,2023-11-30,f
t,5,CO-ANT-Alejandria,co;antioquia;alejandria,2023-11-30,f
t,5,CO-ANT-Amaga,CO-5030,2023-11-30,t
t,5,CO-ANT-Amaga,CO-A-AMG,2023-11-30,f
t,5,CO-ANT-Amaga,CO-A-Amaga,2023-11-30,f
t,1,CO-ANT-Amaga,CO-ANT-AMG,2022-09-14,f
t,5,CO-ANT-Amaga,CO-Amaga,2023-11-30,f
t,5,CO-ANT-Amaga,co;ant;amaga,2023-11-30,f
t,5,CO-ANT-Amaga,co;antioquia;amaga,2023-11-30,f
t,5,CO-ANT-Amalfi,CO-5031,2023-11-30,t
t,5,CO-ANT-Amalfi,CO-A-AMF,2023-11-30,f
t,5,CO-ANT-Amalfi,CO-A-Amalfi,2023-11-30,f
t,1,CO-ANT-Amalfi,CO-ANT-AMF,2022-09-14,f
t,5,CO-ANT-Amalfi,CO-Amalfi,2023-11-30,f
t,5,CO-ANT-Amalfi,co;ant;amalfi,2023-11-30,f
t,5,CO-ANT-Amalfi,co;antioquia;amalfi,2023-11-30,f
t,5,CO-ANT-Andes,CO-5034,2023-11-30,t
t,5,CO-ANT-Andes,CO-A-AND,2023-11-30,f
t,5,CO-ANT-Andes,CO-A-Andes,2023-11-30,f
t,1,CO-ANT-Andes,CO-ANT-AND,2022-09-14,f
t,5,CO-ANT-Andes,CO-Andes,2023-11-30,f
t,5,CO-ANT-Andes,co;ant;andes,2023-11-30,f
t,5,CO-ANT-Andes,co;antioquia;andes,2023-11-30,f
t,5,CO-ANT-Angelopolis,CO-5036,2023-11-30,t
t,5,CO-ANT-Angelopolis,CO-A-ANL,2023-11-30,f
t,5,CO-ANT-Angelopolis,CO-A-Angelopolis,2023-11-30,f
t,1,CO-ANT-Angelopolis,CO-ANT-ANL,2022-09-14,f
t,5,CO-ANT-Angelopolis,CO-Angelopolis,2023-11-30,f
t,5,CO-ANT-Angelopolis,co;ant;angelopolis,2023-11-30,f
t,5,CO-ANT-Angelopolis,co;antioquia;angelopolis,2023-11-30,f
t,5,CO-ANT-Angostura,CO-5038,2023-11-30,t
t,5,CO-ANT-Angostura,CO-A-ANS,2023-11-30,f
t,5,CO-ANT-Angostura,CO-A-Angostura,2023-11-30,f
t,1,CO-ANT-Angostura,CO-ANT-ANS,2022-09-14,f
t,5,CO-ANT-Angostura,CO-Angostura,2023-11-30,f
t,5,CO-ANT-Angostura,co;ant;angostura,2023-11-30,f
t,5,CO-ANT-Angostura,co;antioquia;angostura,2023-11-30,f
t,5,CO-ANT-Anori,CO-5040,2023-11-30,t
t,5,CO-ANT-Anori,CO-A-ANO,2023-11-30,f
t,5,CO-ANT-Anori,CO-A-Anori,2023-11-30,f
t,1,CO-ANT-Anori,CO-ANT-ANO,2022-09-14,f
t,5,CO-ANT-Anori,CO-Anori,2023-11-30,f
t,5,CO-ANT-Anori,co;ant;anori,2023-11-30,f
t,5,CO-ANT-Anori,co;antioquia;anori,2023-11-30,f
t,5,CO-ANT-Anza,CO-5044,2023-11-30,t
t,5,CO-ANT-Anza,CO-A-ANZ,2023-11-30,f
t,5,CO-ANT-Anza,CO-A-Anza,2023-11-30,f
t,1,CO-ANT-Anza,CO-ANT-ANZ,2022-09-14,f
t,5,CO-ANT-Anza,CO-Anza,2023-11-30,f
t,5,CO-ANT-Anza,co;ant;anza,2023-11-30,f
t,5,CO-ANT-Anza,co;antioquia;anza,2023-11-30,f
t,5,CO-ANT-Apartado,CO-5045,2023-11-30,t
t,5,CO-ANT-Apartado,CO-A-APD,2023-11-30,f
t,5,CO-ANT-Apartado,CO-A-Apartado,2023-11-30,f
t,1,CO-ANT-Apartado,CO-ANT-APD,2022-09-14,f
t,5,CO-ANT-Apartado,CO-Apartado,2023-11-30,f
t,5,CO-ANT-Apartado,co;ant;apartado,2023-11-30,f
t,5,CO-ANT-Apartado,co;antioquia;apartado,2023-11-30,f
t,5,CO-ANT-Arboletes,CO-5051,2023-11-30,t
t,5,CO-ANT-Arboletes,CO-A-ARB,2023-11-30,f
t,5,CO-ANT-Arboletes,CO-A-Arboletes,2023-11-30,f
t,1,CO-ANT-Arboletes,CO-ANT-ARB,2022-09-14,f
t,5,CO-ANT-Arboletes,CO-Arboletes,2023-11-30,f
t,5,CO-ANT-Arboletes,co;ant;arboletes,2023-11-30,f
t,5,CO-ANT-Arboletes,co;antioquia;arboletes,2023-11-30,f
t,5,CO-ANT-Argelia,CO-5055,2023-11-30,t
t,5,CO-ANT-Argelia,CO-A-ARG,2023-11-30,f
t,5,CO-ANT-Argelia,CO-A-Argelia,2023-11-30,f
t,1,CO-ANT-Argelia,CO-ANT-ARG,2022-09-14,f
t,5,CO-ANT-Argelia,co;ant;argelia,2023-11-30,f
t,5,CO-ANT-Argelia,co;antioquia;argelia,2023-11-30,f
t,5,CO-ANT-Armenia,CO-5059,2023-11-30,t
t,5,CO-ANT-Armenia,CO-A-ARM,2023-11-30,f
t,5,CO-ANT-Armenia,CO-A-Armenia,2023-11-30,f
t,1,CO-ANT-Armenia,CO-ANT-ARM,2022-09-14,f
t,5,CO-ANT-Armenia,co;ant;armenia,2023-11-30,f
t,5,CO-ANT-Armenia,co;antioquia;armenia,2023-11-30,f
t,5,CO-ANT-Barbosa,CO-5079,2023-11-30,t
t,5,CO-ANT-Barbosa,CO-A-BAB,2023-11-30,f
t,5,CO-ANT-Barbosa,CO-A-Barbosa,2023-11-30,f
t,1,CO-ANT-Barbosa,CO-ANT-BAB,2022-09-14,f
t,5,CO-ANT-Barbosa,co;ant;barbosa,2023-11-30,f
t,5,CO-ANT-Barbosa,co;antioquia;barbosa,2023-11-30,f
t,5,CO-ANT-Bello,CO-5088,2023-11-30,t
t,5,CO-ANT-Bello,CO-A-BEL,2023-11-30,f
t,5,CO-ANT-Bello,CO-A-Bello,2023-11-30,f
t,1,CO-ANT-Bello,CO-ANT-BEL,2022-09-14,f
t,5,CO-ANT-Bello,CO-Bello,2023-11-30,f
t,5,CO-ANT-Bello,co;ant;bello,2023-11-30,f
t,5,CO-ANT-Bello,co;antioquia;bello,2023-11-30,f
t,5,CO-ANT-Belmira,CO-5086,2023-11-30,t
t,5,CO-ANT-Belmira,CO-A-BEM,2023-11-30,f
t,5,CO-ANT-Belmira,CO-A-Belmira,2023-11-30,f
t,1,CO-ANT-Belmira,CO-ANT-BEM,2022-09-14,f
t,5,CO-ANT-Belmira,CO-Belmira,2023-11-30,f
t,5,CO-ANT-Belmira,co;ant;belmira,2023-11-30,f
t,5,CO-ANT-Belmira,co;antioquia;belmira,2023-11-30,f
t,5,CO-ANT-Betania,CO-5091,2023-11-30,t
t,5,CO-ANT-Betania,CO-A-BTA,2023-11-30,f
t,5,CO-ANT-Betania,CO-A-Betania,2023-11-30,f
t,1,CO-ANT-Betania,CO-ANT-BTA,2022-09-14,f
t,5,CO-ANT-Betania,CO-Betania,2023-11-30,f
t,5,CO-ANT-Betania,co;ant;betania,2023-11-30,f
t,5,CO-ANT-Betania,co;antioquia;betania,2023-11-30,f
t,5,CO-ANT-Betulia,CO-5093,2023-11-30,t
t,5,CO-ANT-Betulia,CO-A-BTU,2023-11-30,f
t,5,CO-ANT-Betulia,CO-A-Betulia,2023-11-30,f
t,1,CO-ANT-Betulia,CO-ANT-BTU,2022-09-14,f
t,5,CO-ANT-Betulia,co;ant;betulia,2023-11-30,f
t,5,CO-ANT-Betulia,co;antioquia;betulia,2023-11-30,f
t,5,CO-ANT-Briceno,CO-5107,2023-11-30,t
t,5,CO-ANT-Briceno,CO-A-BRC,2023-11-30,f
t,5,CO-ANT-Briceno,CO-A-Briceno,2023-11-30,f
t,1,CO-ANT-Briceno,CO-ANT-BRC,2022-09-14,f
t,5,CO-ANT-Briceno,co;ant;briceno,2023-11-30,f
t,5,CO-ANT-Briceno,co;antioquia;briceno,2023-11-30,f
t,5,CO-ANT-Buritica,CO-5113,2023-11-30,t
t,5,CO-ANT-Buritica,CO-A-BUT,2023-11-30,f
