isolabel_ext,synonym
CO,co
CO-AMA,co;ama
CO-AMA,co;amazonas
CO-AMA-ElEncanto,co-elencanto
CO-AMA-ElEncanto,co-a-elencanto
CO-AMA-ElEncanto,co-91263
CO-AMA-ElEncanto,co;amazonas;el.encanto
CO-AMA-ElEncanto,co;ama;el.encanto
CO-AMA-ElEncanto,co-a-een
CO-AMA-LaChorrera,co-91405
CO-AMA-LaChorrera,co-a-lachorrera
CO-AMA-LaChorrera,co;amazonas;la.chorrera
CO-AMA-LaChorrera,co;ama;la.chorrera
CO-AMA-LaChorrera,co-a-lch
CO-AMA-LaChorrera,co-lachorrera
CO-AMA-LaPedrera,co;amazonas;la.pedrera
CO-AMA-LaPedrera,co-a-lapedrera
CO-AMA-LaPedrera,co-91407
CO-AMA-LaPedrera,co-lapedrera
CO-AMA-LaPedrera,co-a-lpd
CO-AMA-LaPedrera,co;ama;la.pedrera
CO-AMA-LaVictoria,co-91430
CO-AMA-LaVictoria,co-a-lavictoria
CO-AMA-LaVictoria,co;ama;la.victoria
CO-AMA-LaVictoria,co;amazonas;la.victoria
CO-AMA-LaVictoria,co-a-lvc
CO-AMA-Leticia,co-a-leticia
CO-AMA-Leticia,co-91001
CO-AMA-Leticia,co;ama;leticia
CO-AMA-Leticia,co-leticia
CO-AMA-Leticia,co;amazonas;leticia
CO-AMA-Leticia,co-a-lta
CO-AMA-MiritiParana,co-a-miritiparana
CO-AMA-MiritiParana,co;ama;miriti.parana
CO-AMA-MiritiParana,co-miritiparana
CO-AMA-MiritiParana,co;amazonas;miriti.parana
CO-AMA-MiritiParana,co-91460
CO-AMA-PuertoAlegria,co-a-paa
CO-AMA-PuertoAlegria,co-91530
CO-AMA-PuertoAlegria,co-a-puertoalegria
CO-AMA-PuertoAlegria,co;ama;puerto.alegria
CO-AMA-PuertoAlegria,co-puertoalegria
CO-AMA-PuertoAlegria,co;amazonas;puerto.alegria
CO-AMA-PuertoArica,co;amazonas;puerto.arica
CO-AMA-PuertoArica,co;ama;puerto.arica
CO-AMA-PuertoArica,co-91536
CO-AMA-PuertoArica,co-puertoarica
CO-AMA-PuertoArica,co-a-puertoarica
CO-AMA-PuertoArica,co-a-pac
CO-AMA-PuertoNarino,co;ama;puerto.narino
CO-AMA-PuertoNarino,co-91540
CO-AMA-PuertoNarino,co;amazonas;puerto.narino
CO-AMA-PuertoNarino,co-a-pnn
CO-AMA-PuertoNarino,co-puertonarino
CO-AMA-PuertoNarino,co-a-puertonarino
CO-AMA-PuertoSantander,co-91669
CO-AMA-PuertoSantander,co;ama;puerto.santander
CO-AMA-PuertoSantander,co-a-psr
CO-AMA-PuertoSantander,co;amazonas;puerto.santander
CO-AMA-PuertoSantander,co-a-puertosantander
CO-AMA-Tarapaca,co;ama;tarapaca
CO-AMA-Tarapaca,co-a-tpa
CO-AMA-Tarapaca,co;amazonas;tarapaca
CO-AMA-Tarapaca,co-tarapaca
CO-AMA-Tarapaca,co-91798
CO-AMA-Tarapaca,co-a-tarapaca
CO-ANT,co;antioquia
CO-ANT,co;ant
CO-ANT-Abejorral,co-5002
CO-ANT-Abejorral,co;antioquia;abejorral
CO-ANT-Abejorral,co-abejorral
CO-ANT-Abejorral,co-a-ajr
CO-ANT-Abejorral,co-a-abejorral
CO-ANT-Abejorral,co;ant;abejorral
CO-ANT-Abriaqui,co-a-abq
CO-ANT-Abriaqui,co-5004
CO-ANT-Abriaqui,co-a-abriaqui
CO-ANT-Abriaqui,co;ant;abriaqui
CO-ANT-Abriaqui,co;antioquia;abriaqui
CO-ANT-Abriaqui,co-abriaqui
CO-ANT-Alejandria,co-a-alejandria
CO-ANT-Alejandria,co-a-alj
CO-ANT-Alejandria,co;antioquia;alejandria
CO-ANT-Alejandria,co-5021
CO-ANT-Alejandria,co;ant;alejandria
CO-ANT-Alejandria,co-alejandria
CO-ANT-Amaga,co-amaga
CO-ANT-Amaga,co-a-amaga
CO-ANT-Amaga,co-5030
CO-ANT-Amaga,co-a-amg
CO-ANT-Amaga,co;ant;amaga
CO-ANT-Amaga,co;antioquia;amaga
CO-ANT-Amalfi,co-a-amf
CO-ANT-Amalfi,co;ant;amalfi
CO-ANT-Amalfi,co-5031
CO-ANT-Amalfi,co;antioquia;amalfi
CO-ANT-Amalfi,co-a-amalfi
CO-ANT-Amalfi,co-amalfi
CO-ANT-Andes,co-a-and
CO-ANT-Andes,co-5034
CO-ANT-Andes,co;ant;andes
CO-ANT-Andes,co-andes
CO-ANT-Andes,co-a-andes
CO-ANT-Andes,co;antioquia;andes
CO-ANT-Angelopolis,co-a-angelopolis
CO-ANT-Angelopolis,co-5036
CO-ANT-Angelopolis,co-a-anl
CO-ANT-Angelopolis,co-angelopolis
CO-ANT-Angelopolis,co;antioquia;angelopolis
CO-ANT-Angelopolis,co;ant;angelopolis
CO-ANT-Angostura,co-a-angostura
CO-ANT-Angostura,co-a-ans
CO-ANT-Angostura,co-angostura
CO-ANT-Angostura,co;ant;angostura
CO-ANT-Angostura,co-5038
CO-ANT-Angostura,co;antioquia;angostura
CO-ANT-Anori,co-a-ano
CO-ANT-Anori,co;antioquia;anori
CO-ANT-Anori,co-anori
CO-ANT-Anori,co-5040
CO-ANT-Anori,co-a-anori
CO-ANT-Anori,co;ant;anori
CO-ANT-Anza,co-5044
CO-ANT-Anza,co-anza
CO-ANT-Anza,co;ant;anza
CO-ANT-Anza,co;antioquia;anza
CO-ANT-Anza,co-a-anza
CO-ANT-Anza,co-a-anz
CO-ANT-Apartado,co-5045
CO-ANT-Apartado,co;ant;apartado
CO-ANT-Apartado,co-apartado
CO-ANT-Apartado,co-a-apd
CO-ANT-Apartado,co-a-apartado
CO-ANT-Apartado,co;antioquia;apartado
CO-ANT-Arboletes,co-arboletes
CO-ANT-Arboletes,co-a-arb
CO-ANT-Arboletes,co;ant;arboletes
CO-ANT-Arboletes,co;antioquia;arboletes
CO-ANT-Arboletes,co-5051
CO-ANT-Arboletes,co-a-arboletes
CO-ANT-Argelia,co-a-argelia
CO-ANT-Argelia,co;antioquia;argelia
CO-ANT-Argelia,co;ant;argelia
CO-ANT-Argelia,co-5055
CO-ANT-Argelia,co-a-arg
CO-ANT-Armenia,co-5059
CO-ANT-Armenia,co;antioquia;armenia
CO-ANT-Armenia,co-a-armenia
CO-ANT-Armenia,co-a-arm
CO-ANT-Armenia,co;ant;armenia
CO-ANT-Barbosa,co-5079
CO-ANT-Barbosa,co-a-bab
CO-ANT-Barbosa,co;antioquia;barbosa
CO-ANT-Barbosa,co;ant;barbosa
CO-ANT-Barbosa,co-a-barbosa
CO-ANT-Bello,co-5088
CO-ANT-Bello,co;ant;bello
CO-ANT-Bello,co-bello
CO-ANT-Bello,co-a-bello
CO-ANT-Bello,co;antioquia;bello
CO-ANT-Bello,co-a-bel
CO-ANT-Belmira,co-a-bem
CO-ANT-Belmira,co-5086
CO-ANT-Belmira,co;ant;belmira
CO-ANT-Belmira,co-belmira
CO-ANT-Belmira,co;antioquia;belmira
CO-ANT-Belmira,co-a-belmira
CO-ANT-Betania,co-a-betania
CO-ANT-Betania,co;ant;betania
CO-ANT-Betania,co;antioquia;betania
CO-ANT-Betania,co-a-bta
CO-ANT-Betania,co-5091
CO-ANT-Betania,co-betania
CO-ANT-Betulia,co;antioquia;betulia
CO-ANT-Betulia,co-5093
CO-ANT-Betulia,co;ant;betulia
CO-ANT-Betulia,co-a-betulia
CO-ANT-Betulia,co-a-btu
CO-ANT-Briceno,co;ant;briceno
CO-ANT-Briceno,co-5107
CO-ANT-Briceno,co-a-briceno
CO-ANT-Briceno,co-a-brc
CO-ANT-Briceno,co;antioquia;briceno
CO-ANT-Buritica,co-5113
CO-ANT-Buritica,co-a-but
CO-ANT-Buritica,co;antioquia;buritica
CO-ANT-Buritica,co-a-buritica
CO-ANT-Buritica,co;ant;buritica
CO-ANT-Buritica,co-buritica
CO-ANT-Caceres,co-caceres
CO-ANT-Caceres,co;ant;caceres
CO-ANT-Caceres,co-a-caceres
CO-ANT-Caceres,co-5120
CO-ANT-Caceres,co;antioquia;caceres
CO-ANT-Caicedo,co-5125
CO-ANT-Caicedo,co;ant;caicedo
CO-ANT-Caicedo,co-caicedo
CO-ANT-Caicedo,co;antioquia;caicedo
CO-ANT-Caicedo,co-a-caicedo
CO-ANT-Caicedo,co-a-cai
CO-ANT-Caldas,co;ant;caldas
CO-ANT-Caldas,co-5129
CO-ANT-Caldas,co-a-caldas
CO-ANT-Caldas,co;antioquia;caldas
CO-ANT-Campamento,co-a-campamento
CO-ANT-Campamento,co-campamento
CO-ANT-Campamento,co-5134
CO-ANT-Campamento,co;antioquia;campamento
CO-ANT-Campamento,co;ant;campamento
CO-ANT-Canasgordas,co-a-cag
CO-ANT-Canasgordas,co-canasgordas
CO-ANT-Canasgordas,co;ant;canasgordas
CO-ANT-Canasgordas,co;antioquia;canasgordas
CO-ANT-Canasgordas,co-a-canasgordas
CO-ANT-Canasgordas,co-5138
CO-ANT-Caracoli,co;antioquia;caracoli
CO-ANT-Caracoli,co-5142
CO-ANT-Caracoli,co;ant;caracoli
CO-ANT-Caracoli,co-caracoli
CO-ANT-Caracoli,co-a-caracoli
CO-ANT-Caramanta,co;ant;caramanta
CO-ANT-Caramanta,co-caramanta
CO-ANT-Caramanta,co-a-caramanta
CO-ANT-Caramanta,co;antioquia;caramanta
CO-ANT-Caramanta,co-5145
CO-ANT-Carepa,co-carepa
CO-ANT-Carepa,co;ant;carepa
CO-ANT-Carepa,co-5147
CO-ANT-Carepa,co;antioquia;carepa
CO-ANT-Carepa,co-a-cap
CO-ANT-Carepa,co-a-carepa
CO-ANT-CarolinaPrincipe,co;antioquia;carolina.principe
CO-ANT-CarolinaPrincipe,co-carolinaprincipe
CO-ANT-CarolinaPrincipe,co-a-carolinaprincipe
CO-ANT-CarolinaPrincipe,co;ant;carolina.principe
